0.22	0.40	0.54	0.70	0.86	1.00	1.12	1.26	1.40	1.52	1.64	1.74	1.84	1.94	2.04	2.14
800	23.95	22.89	22.89	19.38	10.59	7.42	6.02	4.96	4.96	4.96	4.96	4.96	4.96	4.96	4.96	4.96
1200	26.05	26.05	25.00	22.89	15.16	11.64	8.83	8.83	8.12	8.12	8.12	6.02	6.02	6.02	6.02	6.02
1600	29.92	28.87	28.16	26.05	20.08	17.97	12.34	11.64	8.83	8.83	8.83	7.07	7.07	6.02	6.02	6.02
2000	33.09	32.03	30.98	28.87	25.00	26.05	21.13	15.51	12.34	9.88	7.07	7.07	6.02	4.96	4.96	4.96
2400	35.90	34.84	34.14	32.03	28.87	26.05	21.13	16.56	12.34	9.88	8.48	7.42	6.02	4.96	3.91	3.91
2800	39.06	38.01	36.95	34.84	32.03	27.11	21.84	17.97	14.10	11.99	10.59	9.53	8.12	7.07	7.07	7.07
3200	40.12	39.06	39.41	35.90	34.84	27.11	22.89	19.38	15.86	12.34	10.59	9.88	8.83	8.12	7.07	7.07
3600	42.93	41.52	39.41	36.95	35.90	27.46	26.05	21.13	16.91	15.16	10.94	9.53	8.83	8.12	7.07	6.02
4000	42.93	42.93	41.88	41.17	34.14	29.57	26.05	21.84	16.91	15.51	15.16	11.99	11.99	10.94	9.88	9.88
4400	42.93	42.93	42.58	40.12	34.84	30.98	23.95	21.48	17.97	15.86	14.10	11.99	11.99	9.88	8.83	8.83
4800	42.93	42.93	42.58	40.12	34.84	30.98	23.95	21.48	17.97	15.86	14.10	11.99	11.99	9.88	9.88	8.83
5200	42.93	42.93	42.93	41.88	38.01	34.49	32.03	29.57	26.41	23.59	20.08	20.08	18.67	17.62	15.86	15.16
5600	42.93	42.93	42.93	42.93	39.06	35.55	33.09	30.62	27.46	25.00	21.84	20.08	18.67	17.62	16.56	15.51
6000	42.93	42.93	42.93	42.93	40.12	36.95	34.49	31.33	28.52	25.35	21.84	21.84	20.43	19.02	17.97	17.97
6400	42.93	42.93	42.93	42.93	40.12	37.66	34.14	31.33	28.52	25.35	21.84	21.84	21.13	19.02	19.02	19.02
