0.70	0.86	1.00	1.12	1.26	1.40	1.52	1.64	1.74	1.84	1.94	2.04	2.14
800	0.00	0.00	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16
1200	0.00	4.92	7.38	8.09	8.09	8.09	8.09	8.09	8.09	8.09	8.09	8.09	8.09
1600	0.00	0.00	8.09	9.14	9.14	9.14	9.14	9.14	9.14	9.14	9.14	9.14	9.14
2000	0.00	0.00	4.92	7.03	9.14	8.44	8.44	8.44	8.44	8.44	8.44	8.44	8.44
2400	0.00	0.00	4.92	7.03	8.44	8.44	8.44	8.44	8.44	8.79	8.79	8.79	8.79
2800	0.00	0.00	4.92	5.98	7.03	7.03	7.38	8.09	8.09	9.14	9.14	8.09	7.38
3200	0.00	0.00	4.92	5.98	7.38	8.09	8.44	9.14	8.79	9.14	9.14	8.09	7.38
3600	0.00	0.00	4.57	4.57	7.03	9.14	9.14	9.14	9.84	9.14	9.14	8.09	7.38
4000	0.00	0.00	2.46	5.62	7.03	10.90	9.49	8.09	8.79	8.09	8.09	8.09	7.38
4400	0.00	0.00	2.11	7.38	7.38	7.03	6.33	7.03	8.09	6.68	10.55	9.49	7.73
4800	0.00	0.00	3.87	7.03	6.33	8.09	9.14	9.84	12.30	12.66	12.30	12.30	9.84
5200	0.00	0.00	0.00	3.52	4.57	3.87	4.57	6.33	8.09	8.44	7.73	7.73	7.73
5600	0.00	0.00	0.00	3.16	3.16	3.52	3.87	4.92	8.09	9.84	9.49	9.49	9.49
6000	0.00	0.00	3.52	3.87	3.52	3.87	5.62	7.38	8.79	8.09	8.09	8.09	8.09
6400	0.00	3.16	5.62	7.38	7.03	7.38	8.44	10.20	8.79	8.44	9.14	9.14	9.14
6800	0.00	2.46	4.57	7.03	7.03	7.38	8.44	10.55	9.14	9.14	10.90	10.90	10.90
